,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-01-12,-6242.6444890742405,-11850.273322617888,18078.896573804745,-6242.6444890742405,-6242.6444890742405,9182.524595522604,9182.524595522604,9182.524595522604,2220.8449841635606,2220.8449841635606,2220.8449841635606,6961.6796113590435,6961.6796113590435,6961.6796113590435,0.0,0.0,0.0,2939.880106448363
1,2009-01-13,-6194.991927004257,-14350.930798293852,16537.528618405737,-6194.991927004257,-6194.991927004257,8301.605083566676,8301.605083566676,8301.605083566676,1317.7282325201554,1317.7282325201554,1317.7282325201554,6983.87685104652,6983.87685104652,6983.87685104652,0.0,0.0,0.0,2106.613156562418
2,2009-01-14,-6147.339364934274,-13072.94158387408,15962.916180253682,-6147.339364934274,-6147.339364934274,8162.771122070469,8162.771122070469,8162.771122070469,1190.3939740596477,1190.3939740596477,1190.3939740596477,6972.377148010821,6972.377148010821,6972.377148010821,0.0,0.0,0.0,2015.4317571361944
3,2009-01-15,-6099.686802864291,-11093.40882485584,19498.36117465806,-6099.686802864291,-6099.686802864291,10295.630331036646,10295.630331036646,10295.630331036646,3364.72492935307,3364.72492935307,3364.72492935307,6930.905401683574,6930.905401683574,6930.905401683574,0.0,0.0,0.0,4195.9435281723545
4,2009-01-16,-6052.034240794308,-15061.080611288522,15590.92473975086,-6052.034240794308,-6052.034240794308,5923.188156748009,5923.188156748009,5923.188156748009,-940.6156865318543,-940.6156865318543,-940.6156865318543,6863.803843279861,6863.803843279861,6863.803843279861,0.0,0.0,0.0,-128.84608404629944
5,2009-01-17,-6004.381678724325,-20138.153645247086,9315.990770542885,-6004.381678724325,-6004.381678724325,297.432001208294,297.432001208294,297.432001208294,-6478.464914936142,-6478.464914936142,-6478.464914936142,6775.896916144436,6775.896916144436,6775.896916144436,0.0,0.0,0.0,-5706.9496775160305
6,2009-01-18,-5956.729116654341,-15670.095041449174,14992.614480116636,-5956.729116654341,-5956.729116654341,5997.731902979219,5997.731902979219,5997.731902979219,-674.6115186156,-674.6115186156,-674.6115186156,6672.343421594819,6672.343421594819,6672.343421594819,0.0,0.0,0.0,41.00278632487789
7,2009-01-19,-5909.076554584358,-11308.552596667012,19009.68662109788,-5909.076554584358,-5909.076554584358,8779.325496361596,8779.325496361596,8779.325496361596,2220.8449841623255,2220.8449841623255,2220.8449841623255,6558.48051219927,6558.48051219927,6558.48051219927,0.0,0.0,0.0,2870.2489417772385
8,2009-01-20,-5861.423992514375,-13137.026545162744,16587.066647380663,-5861.423992514375,-5861.423992514375,7757.392552344904,7757.392552344904,7757.392552344904,1317.7282325221656,1317.7282325221656,1317.7282325221656,6439.664319822739,6439.664319822739,6439.664319822739,0.0,0.0,0.0,1895.9685598305296
9,2009-01-21,-5813.771430444392,-14021.937618830158,16259.669650840042,-5813.771430444392,-5813.771430444392,7511.506039627344,7511.506039627344,7511.506039627344,1190.3939740581857,1190.3939740581857,1190.3939740581857,6321.112065569157,6321.112065569157,6321.112065569157,0.0,0.0,0.0,1697.7346091829522
10,2009-01-22,-5766.118868374408,-10647.912889492469,20087.966733252953,-5766.118868374408,-5766.118868374408,9572.475341593405,9572.475341593405,9572.475341593405,3364.7249293562,3364.7249293562,3364.7249293562,6207.750412237205,6207.750412237205,6207.750412237205,0.0,0.0,0.0,3806.356473218997
11,2009-01-23,-5718.4663063044245,-16284.679179698927,14838.105094937078,-5718.4663063044245,-5718.4663063044245,5163.458904152263,5163.458904152263,5163.458904152263,-940.6156865362447,-940.6156865362447,-940.6156865362447,6104.074590688508,6104.074590688508,6104.074590688508,0.0,0.0,0.0,-555.0074021521614
