,Description,Quantity,Revenue
0,  DOORMAT UNION JACK GUNS AND ROSES,169,1084.75
1, 3 STRIPEY MICE FELTCRAFT,663,1243.05
2, 4 PURPLE FLOCK DINNER CANDLES,200,265.2
3, ANIMAL STICKERS,385,80.85
4, BLACK PIRATE TREASURE CHEST,47,77.55
5, BROWN  PIRATE TREASURE CHEST ,36,59.39999999999999
6, Bank Charges,2,30.0
7, CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75
8, CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6000000000001
9, FAIRY CAKE CANDLES,153,202.05
10, FLAMINGO LIGHTS,335,1523.8500000000001
11, HOME SWEET HOME  BLACKBOARD,117,722.31
12, IVORY PAPER CUP CAKE CASES ,1146,521.1
13, LARGE SKULL WINDMILL,8,16.8
14, NEW BAROQUE BLACK BOXES,6,76.5
15, OVAL WALL MIRROR DIAMANTE ,20,199.0
16, PAINT YOUR OWN CANVAS SET,480,724.8
17, PEACE WOODEN BLOCK LETTERS,133,917.15
18, RED/WHITE DOT MINI CASES,479,3536.13
19, RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001
20, SET 2 TEA TOWELS I LOVE LONDON ,1071,3069.8500000000004
21, SET Of 6 SOLDIER SKITTLES,16,60.0
22, SILVER CHERRY LIGHTS,264,1594.8000000000002
23, SILVER T-LIGHT SETTING,37,240.15
24, STAR  T-LIGHT HOLDER ,20,28.999999999999996
25, VINTAGE DESIGN GIFT TAGS,244,207.39999999999998
26, WHITE BAMBOO RIBS LAMPSHADE,210,148.26
27, WHITE CHERRY LIGHTS,1986,11697.300000000001
28,10 COLOUR SPACEBOY PEN,6017,5002.129999999999
29,11 PC CERAMIC TEA SET POLKADOT,3,14.850000000000001
30,12 ASS ZINC CHRISTMAS DECORATIONS,441,926.1000000000001
31,12 COLOURED PARTY BALLOONS,2117,1310.05
32,12 DAISY PEGS IN WOOD BOX,582,960.2999999999998
33,12 EGG HOUSE PAINTED WOOD,364,3751.4
34,12 IVORY ROSE PEG PLACE SETTINGS,1650,1973.58
35,12 MESSAGE CARDS WITH ENVELOPES,1415,2262.75
36,12 MINI TOADSTOOL PEGS,474,592.5
37,12 PENCIL SMALL TUBE WOODLAND,5248,3332.0000000000005
38,12 PENCILS SMALL TUBE POSY,519,337.35
39,12 PENCILS SMALL TUBE RED RETROSPOT,3614,2349.1000000000004
40,12 PENCILS SMALL TUBE RED SPOTTY,8003,5001.95
41,12 PENCILS SMALL TUBE SKULL,6227,3984.3500000000004
42,12 PENCILS TALL TUBE POSY,2052,737.16
43,12 PENCILS TALL TUBE RED RETROSPOT,1215,1032.75
44,12 PENCILS TALL TUBE RED SPOTTY,2241,1879.8899999999999
45,12 PENCILS TALL TUBE SKULLS,2659,2255.47
46,12 PENCILS TALL TUBE WOODLAND,2641,2169.97
47,12 PINK HEN+CHICKS IN BASKET,49,124.94999999999999
48,12 PINK ROSE PEG PLACE SETTINGS,1264,1491.08
49,12 RED ROSE PEG PLACE SETTINGS,770,953.38
50,15 PINK FLUFFY CHICKS IN BOX,20,59.0
51,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1320,9717.0
52,2 DAISIES HAIR COMB,12,35.400000000000006
53,2 PICTURE BOOK EGGS EASTER BUNNY,560,535.0
54,2 PICTURE BOOK EGGS EASTER CHICKS,557,531.25
55,2 PICTURE BOOK EGGS EASTER DUCKS,549,521.25
56,20 DOLLY PEGS RETROSPOT,3225,3774.63
57,200 BENDY SKULL STRAWS,602,684.1
58,200 RED + WHITE BENDY STRAWS,1232,1489.84
59,24 HANGING EASTER EGGS FLORAL TUB,655,2225.85
60,3 BIRDS CANVAS SCREEN,1,1.65
61,3 BLACK CATS W HEARTS BLANK CARD,55,10.450000000000001
62,3 GARDENIA MORRIS BOXED CANDLES,339,1343.07
63,3 HEARTS HANGING DECORATION RUSTIC,5544,15607.6
64,3 HOOK HANGER MAGIC GARDEN,1056,1853.9999999999998
65,3 HOOK PHOTO SHELF ANTIQUE WHITE,1332,9619.64
66,3 PIECE JIGSAW TOADSTOOLS,16,26.4
67,3 PIECE SPACEBOY COOKIE CUTTER SET,211,443.1
68,3 PINK HEN+CHICKS IN BASKET,87,97.35
69,3 ROSE MORRIS BOXED CANDLES,174,689.34
70,3 STRIPEY MICE FELTCRAFT,4181,7296.95
71,3 TIER CAKE TIN GREEN AND CREAM,123,1768.4499999999998
72,3 TIER CAKE TIN RED AND CREAM,203,2894.0499999999997
73,3 TIER SWEETHEART GARDEN SHELF,8,287.6
74,3 TRADITIONAL COOKIE CUTTERS  SET,204,392.4000000000001
75,3 TRADITIONAl BISCUIT CUTTERS  SET,302,598.2
76,3 WHITE CHOC MORRIS BOXED CANDLES,233,909.29
77,3 WICK CHRISTMAS BRIAR CANDLE ,258,967.5
78,36 DOILIES DOLLY GIRL,1039,1391.35
79,36 DOILIES SPACEBOY DESIGN ,706,994.9
80,36 DOILIES VINTAGE CHRISTMAS,2592,3585.6
81,36 FOIL HEART CAKE CASES,554,1112.4
82,36 FOIL STAR CAKE CASES ,440,897.0000000000001
83,36 PENCILS TUBE POSY,145,181.25
84,36 PENCILS TUBE RED RETROSPOT,1056,1295.68
85,36 PENCILS TUBE RED SPOTTY,3225,3882.29
86,36 PENCILS TUBE SKULLS,2203,2695.99
87,36 PENCILS TUBE WOODLAND,1975,2465.71
88,3D CHRISTMAS STAMPS STICKERS ,780,954.48
89,3D DOG PICTURE PLAYING CARDS,977,2766.9500000000003
90,3D HEARTS  HONEYCOMB PAPER GARLAND,562,1625.1000000000001
91,3D SHEET OF CAT STICKERS,951,808.3499999999999
92,3D SHEET OF DOG STICKERS,921,782.8499999999999
93,3D SHEET OF SEA WORLD STICKERS,147,124.94999999999999
94,3D STICKERS CHRISTMAS STAMPS,940,1137.0
95,3D STICKERS TRADITIONAL CHRISTMAS ,980,1187.0
96,3D STICKERS VINTAGE CHRISTMAS,1060,1268.0
97,3D TRADITIONAL CHRISTMAS STICKERS,901,1105.73
98,3D VINTAGE CHRISTMAS STICKERS ,961,1160.21
99,4 BLUE DINNER CANDLES SILVER FLOCK,132,259.2
100,4 BURGUNDY WINE DINNER CANDLES,488,251.44
101,4 FESTIVE GREEN DINNER CANDLES,51,23.91
102,4 GOLD FLOCK CHRISTMAS BALLS,126,198.0
103,4 IVORY DINNER CANDLES GOLD FLOCK,819,1037.37
104,4 IVORY DINNER CANDLES SILVER FLOCK,881,1420.59
105,4 LAVENDER BOTANICAL DINNER CANDLES,295,1028.25
106,4 LILY  BOTANICAL DINNER CANDLES,325,1185.75
107,4 PEAR BOTANICAL DINNER CANDLES,338,1192.5
108,4 PINK DINNER CANDLE SILVER FLOCK,133,155.54999999999998
109,4 PINK FLOCK CHRISTMAS BALLS,127,199.25
110,4 ROSE PINK DINNER CANDLES,402,183.78
111,4 SKY BLUE DINNER CANDLES,318,158.46
112,4 TRADITIONAL SPINNING TOPS,3205,3975.85
113,4 VANILLA BOTANICAL CANDLES,159,596.25
114,4 WILDFLOWER BOTANICAL CANDLES,296,1059.0
115,5 HOOK BLACKBOARD ORGANISER ,301,2589.5899999999997
116,5 HOOK HANGER MAGIC TOADSTOOL,1183,1836.7499999999998
117,5 HOOK HANGER RED MAGIC TOADSTOOL,1471,2251.95
118,5 STRAND GLASS NECKLACE AMBER,13,82.55
119,5 STRAND GLASS NECKLACE AMETHYST,15,95.25
120,5 STRAND GLASS NECKLACE BLACK,9,57.15
121,5 STRAND GLASS NECKLACE CRYSTAL,84,490.4
122,50CM METAL STRING WITH  7 CLIPS,95,80.75
123,6 CHOCOLATE LOVE HEART T-LIGHTS,1603,3161.88
124,6 CROCHET STRAWBERRIES,942,1102.64
125,6 EGG HOUSE PAINTED WOOD,681,4949.95
126,6 HOOK JEWEL STAND LILAC DRESS,1,8.49
127,6 HOOK JEWELLERY STAND BLACK DRESS,516,1071.6
128,6 RABBIT CHAIN EASTER,53,45.05
129,6 RIBBONS ELEGANT CHRISTMAS ,1527,2418.7499999999995
130,6 RIBBONS EMPIRE  ,1088,1763.9999999999998
131,6 RIBBONS RUSTIC CHARM,7679,12468.749999999998
132,6 RIBBONS SHIMMERING PINKS ,749,947.8499999999999
133,6 ROCKET BALLOONS ,2014,1309.1000000000001
134,6 SEGMENT COLOURED SNACK BOWL ,18,143.1
135,60 CAKE CASES DOLLY GIRL DESIGN,2687,1337.45
136,60 CAKE CASES VINTAGE CHRISTMAS,11040,5466.72
137,60 GOLD AND SILVER FAIRY CAKE CASES,4227,2020.53
138,60 TEATIME FAIRY CAKE CASES,35806,17503.2
